"Geo Level","State","State ANSI","Measure","Bearing_type","Domain","size_bracket","Value","CV (%)"
"NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","963","5.6"
"NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","3,195","5.9"
"NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(100 OR MORE ACRES)","46,265","25.3"
"NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","2,514","20.0"
"NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","4,231","13.0"
"NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","3,396","8.6"
"NATIONAL","US TOTAL",NA,"ACRES","BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","10,146","50.5"
"NATIONAL","US TOTAL",NA,"ACRES","BEARING","TOTAL","TOTAL","70,709","15.4"
"NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(0.1 TO 0.9 ACRES)","1,199","6.2"
"NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(1.0 TO 4.9 ACRES)","3,729","5.3"
"NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(100 OR MORE ACRES)","46,931","25.0"
"NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(15.0 TO 24.9 ACRES)","2,758","19.1"
"NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(25.0 TO 49.9 ACRES)","4,441","12.7"
"NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(5.0 TO 14.9 ACRES)","3,942","7.9"
"NATIONAL","US TOTAL",NA,"ACRES","GROWN","AREA GROWN","(50.0 TO 99.9 ACRES)","10,461","47.6"
"NATIONAL","US TOTAL",NA,"ACRES","GROWN","TOTAL","TOTAL","73,462","15.3"
"NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","236","13.2"
"NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","535","5.1"
"NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(100 OR MORE ACRES)","666","4.2"
"NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(15.0 TO 24.9 ACRES)","244","34.1"
"NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(25.0 TO 49.9 ACRES)","210","37.3"
"NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(5.0 TO 14.9 ACRES)","547","9.9"
"NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","AREA GROWN","(50.0 TO 99.9 ACRES)","315","(H)"
"NATIONAL","US TOTAL",NA,"ACRES","NON-BEARING","TOTAL","TOTAL","2,753","15.5"
"NATIONAL","US TOTAL",NA,"OPERATIONS","AREA BEARING","AREA GROWN","(0.1 TO 0.9 ACRES)","4,690","6.4"
"NATIONAL","US TOTAL",NA,"OPERATIONS","AREA BEARING","AREA GROWN","(1.0 TO 4.9 ACRES)","1,812","6.1"
"NATIONAL","US TOTAL",NA,"OPERATIONS","AREA BEARING","AREA GROWN","(100 OR MORE ACRES)","161","25.4"
