"Year","State","State ANSI","category","measurement","Value","use","Chemical","Number"
2023,"CALIFORNIA","06"," APPLICATIONS ","LB","(D)"," FUNGICIDE","OXATHIAPIPROLIN",128111
2023,"CALIFORNIA","06"," APPLICATIONS ","LB","(D)"," INSECTICIDE","CYCLANILIPROLE",26202
2023,"CALIFORNIA","06"," APPLICATIONS ","LB","(D)"," INSECTICIDE","PERMETHRIN",109701
2023,"CALIFORNIA","06"," APPLICATIONS ","LB","(NA)"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003
2023,"CALIFORNIA","06"," APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," FUNGICIDE","OXATHIAPIPROLIN",128111
2023,"CALIFORNIA","06"," APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," INSECTICIDE","CYCLANILIPROLE",26202
2023,"CALIFORNIA","06"," APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(D)"," INSECTICIDE","PERMETHRIN",109701
2023,"CALIFORNIA","06"," APPLICATIONS ","LB / ACRE / APPLICATION, AVG","(NA)"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003
2023,"CALIFORNIA","06"," APPLICATIONS ","LB / ACRE / YEAR, AVG","(D)"," FUNGICIDE","OXATHIAPIPROLIN",128111
2023,"CALIFORNIA","06"," APPLICATIONS ","LB / ACRE / YEAR, AVG","(D)"," INSECTICIDE","CYCLANILIPROLE",26202
2023,"CALIFORNIA","06"," APPLICATIONS ","LB / ACRE / YEAR, AVG","(D)"," INSECTICIDE","PERMETHRIN",109701
2023,"CALIFORNIA","06"," APPLICATIONS ","LB / ACRE / YEAR, AVG","(NA)"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003
2023,"CALIFORNIA","06"," APPLICATIONS ","NUMBER, AVG","(D)"," FUNGICIDE","OXATHIAPIPROLIN",128111
2023,"CALIFORNIA","06"," APPLICATIONS ","NUMBER, AVG","(D)"," INSECTICIDE","CYCLANILIPROLE",26202
2023,"CALIFORNIA","06"," APPLICATIONS ","NUMBER, AVG","(D)"," INSECTICIDE","PERMETHRIN",109701
2023,"CALIFORNIA","06"," APPLICATIONS ","NUMBER, AVG","(D)"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003
2023,"CALIFORNIA","06"," TREATED ","PCT OF AREA BEARING, AVG","(D)"," FUNGICIDE","OXATHIAPIPROLIN",128111
2023,"CALIFORNIA","06"," TREATED ","PCT OF AREA BEARING, AVG","(D)"," INSECTICIDE","CYCLANILIPROLE",26202
2023,"CALIFORNIA","06"," TREATED ","PCT OF AREA BEARING, AVG","(D)"," INSECTICIDE","PERMETHRIN",109701
2023,"CALIFORNIA","06"," TREATED ","PCT OF AREA BEARING, AVG","(D)"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901",115003
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","3,300"," FUNGICIDE","AZOXYSTROBIN",128810
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(NA)"," FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS STRAIN D747",16482
2023,"CALIFORNIA","06"," BEARING - APPLICATIONS ","LB","(NA)"," FUNGICIDE","BACILLUS SUBTILIS",6479
