"Year","Period","Geo Level","State","State ANSI","category","measurement","Value"
2024,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED ADJUSTED BASE ","$ / CWT","10.9"
2024,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED ADJUSTED BASE ","$ / TON","4.04"
2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PRICE RECEIVED ","$ / CWT","123"
2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","142"
2023,"MARKETING YEAR","NATIONAL","US TOTAL",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","43.8"
2023,"MARKETING YEAR","STATE","CALIFORNIA","06"," PRICE RECEIVED ","$ / CWT","121"
2023,"MARKETING YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
2023,"MARKETING YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
2023,"MARKETING YEAR","STATE","FLORIDA","12"," PRICE RECEIVED ","$ / CWT","147"
2023,"MARKETING YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRICE RECEIVED ","$ / CWT","(D)"
2023,"MARKETING YEAR","STATE","FLORIDA","12"," PROCESSING - PRICE RECEIVED ","$ / CWT","(D)"
2023,"MARKETING YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRICE RECEIVED ","$ / CWT","142"
2023,"MARKETING YEAR","STATE","OTHER STATES",NA," PROCESSING - PRICE RECEIVED ","$ / CWT","43.8"
2023,"YEAR","NATIONAL","US TOTAL",NA," ACRES HARVESTED",NA,"56,800"
2023,"YEAR","NATIONAL","US TOTAL",NA," ACRES PLANTED",NA,"57,300"
2023,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","$","3,398,943,000"
2023,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","CWT","27,560,000"
2023,"YEAR","NATIONAL","US TOTAL",NA," PRODUCTION ","TONS","1,378,000"
2023,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","CWT / ACRE","485"
2023,"YEAR","NATIONAL","US TOTAL",NA," YIELD ","TONS / ACRE","24.26"
2023,"YEAR","NATIONAL","US TOTAL",NA," FRESH MARKET - PRICE RECEIVED 10 YEAR AVG FOR PARITY PURPOSES ","$ / CWT","120"
