Sample ID,Commodity,Pesticide Code,Pesticide Name,Concentration,LOD,pp_,Annotate,Quantitate,Mean,Commodity Type,Variety,Commodity Claim,Facility Type,Origin,Country,State,Quantity,EPA Tolerance (ppm)
"CA1810150001SZWA1P","SZ","052","Malathion","0.012","0.002","M","","","O","FZ","Whole","NC","R","1","","CA","","8"
"CA1810150001SZWA1P","SZ","679","Myclobutanil","0.011","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","0.50"
"CA1810150001SZWA1P","SZ","666","Carbendazim (MBC)","0.0096","0.001","M","","","O","FZ","Whole","NC","R","1","","CA","","7.0"
"CA1810150001SZWA1P","SZ","B43","Thiamethoxam","0.0084","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","0.30"
"CA1810150001SZWA1P","SZ","B79","Trifloxystrobin","0.0042","0.0015","M","","","O","FZ","Whole","NC","R","1","","CA","","1.5"
"CA1810150001SZWA1P","SZ","B61","Pyraclostrobin","0.0042","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","1.2"
"CA1810150001SZWA1P","SZ","B75","Boscalid","0.0034","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","4.5"
"CA1810150001SZWA1P","SZ","B48","Azoxystrobin","0.0018","0.0015","M","","","O","FZ","Whole","NC","R","1","","CA","","10.0"
"CA1810150001SZWA1P","SZ","624","Tetrahydrophthalimide (THPI)","0.16","0.01","M","","","O","FZ","Whole","NC","R","1","","CA","","20.0"
"CA1810150001SZWA1P","SZ","AGG","Flonicamid","0.05","0.006","M","","","O","FZ","Whole","NC","R","1","","CA","","1.5"
"CA1810150001SZWA1P","SZ","808","Fenpropathrin","0.045","0.02","M","","","O","FZ","Whole","NC","R","1","","CA","","2.0"
"CA1810150001SZWA1P","SZ","AES","Methoxyfenozide","0.02","0.0033","M","","","O","FZ","Whole","NC","R","1","","CA","","2.0"
"CA1810150001SZWA1P","SZ","B22","Cyprodinil","0.018","0.005","M","","","O","FZ","Whole","NC","R","1","","CA","","5.0"
"CA1810150001SZWA1P","SZ","AKG","Fluopyram","0.018","0.005","M","","","O","FZ","Whole","NC","R","1","","CA","","2.0"
"CA1810150004SZWA1P","SZ","052","Malathion","0.0084","0.002","M","","","O","FZ","Whole","NC","R","1","","CA","","8"
"CA1810150004SZWA1P","SZ","607","Metalaxyl/Mefenoxam","0.0013","0.001","M","","","O","FZ","Whole","NC","R","1","","CA","","10.0"
"CA1810150004SZWA1P","SZ","AFX","Novaluron","0.12","0.0086","M","","","O","FZ","Whole","NC","R","1","","CA","","0.45"
"CA1810150004SZWA1P","SZ","808","Fenpropathrin","0.089","0.02","M","","","O","FZ","Whole","NC","R","1","","CA","","2.0"
